"NU_ANO";"CO_CURSO";"QE_I27";"QE_I28";"QE_I29";"QE_I30";"QE_I31";"QE_I32";"QE_I33";"QE_I34";"QE_I35";"QE_I36";"QE_I37";"QE_I38";"QE_I39";"QE_I40";"QE_I41";"QE_I42";"QE_I43";"QE_I44";"QE_I45";"QE_I46";"QE_I47";"QE_I48";"QE_I49";"QE_I50";"QE_I51";"QE_I52";"QE_I53";"QE_I54";"QE_I55";"QE_I56";"QE_I57";"QE_I58";"QE_I59";"QE_I60";"QE_I61";"QE_I62";"QE_I63";"QE_I64";"QE_I65";"QE_I66";"QE_I67";"QE_I68"
2022;1115471;1;2;6;6;6;2;6;6;6;6;6;6;6;5;3;6;5;5;5;8;2;2;6;1;2;4;7;6;6;6;6;6;6;7;6;6;6;6;6;7;7;6
2022;67975;1;2;1;1;3;2;3;2;2;2;2;2;2;1;2;2;4;3;3;2;1;1;2;2;2;1;1;1;2;1;3;2;1;1;1;1;1;2;3;2;4;1
2022;54828;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2022;305484;1;1;2;1;2;6;3;2;2;1;2;3;7;6;2;3;5;6;6;1;3;2;1;4;1;7;6;4;2;5;3;6;3;4;6;6;6;6;6;5;6;6
2022;95393;1;4;3;3;3;3;3;3;3;3;3;3;5;4;4;5;3;3;3;7;3;5;4;6;6;2;1;6;3;3;3;3;1;1;8;8;8;6;6;4;2;6
2022;67118;1;1;1;1;1;1;1;1;1;1;1;4;3;3;3;3;3;4;4;4;4;4;5;5;5;1;1;4;3;3;3;3;3;3;6;6;6;6;6;6;3;2
2022;12699;1;1;1;1;1;1;1;1;1;1;1;1;1;7;7;1;6;7;6;7;1;1;6;7;8;7;7;6;4;6;3;3;5;6;2;8;8;7;8;8;1;1
2022;114433;1;1;3;1;1;3;2;2;2;3;3;3;5;3;5;3;4;4;1;2;1;1;2;2;5;1;1;1;1;4;4;5;2;2;4;2;4;3;3;3;4;2
2022;57870;1;8;2;2;2;6;4;4;4;3;3;2;3;2;5;6;4;4;2;4;2;2;2;8;8;2;2;4;4;6;4;6;4;5;4;4;4;4;6;5;4;5
2022;12311;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;4;1;1;1;1;1;1;1;1;1;5;1;1;6;6;1;1;3
2022;83265;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;6;4;2;6;6;2;1;1;1;1;2;2;2;1;2
2022;63420;1;2;4;3;3;4;1;3;2;4;4;4;8;8;3;4;4;3;2;8;7;7;6;3;8;1;1;7;5;6;6;5;3;4;6;6;8;7;7;7;7;8
2022;13573;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;3;3;1;1;3;1;1;1;2
2022;1331373;1;1;1;2;2;1;3;2;3;1;3;2;2;1;3;1;2;1;2;1;1;1;2;4;1;1;3;1;4;3;4;3;2;2;3;2;3;3;3;2;1;2
2022;53353;1;3;4;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;1;6;4;5;5;5;6;6;6;6;6;6;6;6;6;6
2022;122817;1;1;1;1;1;1;3;2;2;1;2;1;2;2;6;6;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2